Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
Rest;2021-02-02 15:19:50.3555;8908;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6701;14
MotorImagery;2021-02-02 15:19:54.8004;9224;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7651;15
Rest;2021-02-02 15:19:55.0647;9243;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6922;15
MotorImagery;2021-02-02 15:19:55.0942;9244;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7528;16
Rest;2021-02-02 15:19:55.4481;9269;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6849;16
MotorImagery;2021-02-02 15:19:55.5858;9278;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7288;17
Rest;2021-02-02 15:19:55.7174;9287;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7024;17
InputWindowChange;2021-02-02 15:19:57.9935;9456;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;9;-10.2235;0.0000;Running;1.0540;12;0.1000;4;0.1000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:20:01.9882;9731;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;9;-10.2219;0.0000;Running;1.0540;12;0.1000;4;0.1000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:20:01.9902;9731;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;9;-10.2219;0.0000;Running;1.0540;12;0.1000;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-02-02 15:20:02.5896;9774;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7553;18
Rest;2021-02-02 15:20:02.7512;9785;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6949;18
MotorImagery;2021-02-02 15:20:06.0644;10028;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7204;19
Rest;2021-02-02 15:20:06.1671;10037;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7014;19
MotorImagery;2021-02-02 15:20:06.3098;10046;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7805;20
Rest;2021-02-02 15:20:06.3267;10047;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6833;20
InputWindowChange;2021-02-02 15:20:13.1899;10539;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;10;-10.2219;0.0000;Running;2.3138;12;0.1000;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:20:17.1894;10831;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;10;-10.2160;0.0000;Running;2.3138;12;0.1000;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:20:17.1944;10831;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;10;-10.2160;0.0000;Running;2.3138;12;0.1000;4;0.1000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-02-02 15:20:27.5454;11578;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;11;-10.2160;0.0000;Running;2.4154;12;0.1000;4;0.1000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:20:29.9549;11751;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;11;-11.7943;0.0000;Running;2.4154;12;0.1000;4;0.1000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:20:29.9559;11751;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;11;-11.7943;0.0000;Running;2.4154;12;0.1000;3;0.1500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
InputWindowChange;2021-02-02 15:20:39.6118;12435;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;12;-11.7943;0.0000;Running;2.6351;12;0.1000;3;0.1500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:20:43.6038;12712;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;12;-11.7811;0.0000;Running;2.6351;12;0.1000;3;0.1500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
