Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
InputWindowChange;2021-01-25 15:48:20.5796;12017;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;11;0.0000;0.0000;Running;2.1940;15;0.2500;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:48:25.5825;12733;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;11;0.0029;0.0000;Running;2.1940;15;0.2500;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:48:25.5845;12733;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;11;0.0029;0.0000;Running;2.1940;15;0.2500;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:48:27.5824;13019;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;12;0.0000;0.0000;Running;2.9385;15;0.2500;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:48:32.5850;13735;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;12;0.0026;0.0000;Running;2.9385;15;0.2500;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:48:32.5870;13735;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;12;0.0026;0.0000;Running;2.9385;15;0.2500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:48:34.5834;14021;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;13;0.0000;0.0000;Running;2.4490;15;0.2500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:48:39.5848;14736;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;13;0.0011;0.0000;Running;2.4490;15;0.2500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:48:39.5868;14736;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;13;0.0011;0.0000;Running;2.4490;15;0.2500;0;0.0000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:48:41.5900;15022;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;14;0.0000;0.0000;Running;3.7025;15;0.2500;0;0.0000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:48:46.5855;15737;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;14;0.0005;0.0000;Running;3.7025;15;0.2500;0;0.0000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
