Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
MotorImagery;2021-01-29 11:21:23.4306;3762;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6566;19;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:21:23.7258;3782;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6266;19;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:21:23.8236;3789;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6844;20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:21:24.4604;3834;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6355;20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:21:24.5994;3842;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6891;21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:21:25.6701;3909;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.5804;21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:21:26.6382;3976;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.7276;22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:21:27.2818;4018;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6249;22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:21:28.8025;4125;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6578;23;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:21:28.9631;4135;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6385;23;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:21:29.2404;4156;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Open;4;-8.0926;0.0000;Running;1.1133;17;0.1500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-29 11:21:33.2341;4429;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Closed;4;-8.0878;0.0000;Running;1.1133;17;0.1500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 11:21:33.2351;4429;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Closed;4;-8.0878;0.0000;Running;1.1133;17;0.1500;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
MotorImagery;2021-01-29 11:21:33.4335;4443;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6521;24;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:21:34.4003;4505;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6380;24;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:21:34.9827;4546;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6670;25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:21:35.9598;4609;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6433;25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:21:43.5608;5130;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Open;5;-8.0878;0.0000;Running;1.7767;17;0.1500;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-29 11:21:47.3065;5380;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6665;26;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:21:47.3075;5380;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Closed;5;-8.3311;0.0000;Running;1.7767;17;0.1500;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 11:21:47.3114;5380;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Closed;5;-8.3311;0.0000;Running;1.7767;16;0.2000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-29 11:21:47.4600;5389;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.5903;26;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:21:49.3915;5522;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6689;27;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:21:50.6915;5613;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6479;27;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:21:55.6378;5946;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6743;28;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:21:55.8742;5962;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6493;28;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:21:55.8871;5963;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.7001;29;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:21:56.5426;6009;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Open;6;-8.3311;0.0000;Running;1.4211;16;0.2000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
Rest;2021-01-29 11:21:57.1813;6054;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6451;29;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:22:00.5286;6287;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Closed;6;-8.3301;0.0000;Running;1.4211;16;0.2000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 11:22:00.5356;6287;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Closed;6;-8.3301;0.0000;Running;1.4211;16;0.2000;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
MotorImagery;2021-01-29 11:22:06.8909;6719;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6651;30;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:22:08.0267;6797;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6238;30;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:22:10.9575;6993;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Open;7;-8.3301;0.0000;Running;2.6210;16;0.2000;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-29 11:22:11.2358;7012;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6982;31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
