Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
Rest;2021-01-29 14:52:44.2325;11484;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7339;9
MotorImagery;2021-01-29 14:52:44.2614;11485;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7563;10
Rest;2021-01-29 14:52:44.4659;11501;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7471;10
InputWindowChange;2021-01-29 14:52:55.1253;12236;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;11;-4.1555;0.0000;Running;1.8352;17;0.1500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:52:59.1218;12508;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;11;-4.1455;0.0000;Running;1.8352;17;0.1500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:52:59.1248;12508;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;11;-4.1455;0.0000;Running;1.8352;17;0.1500;0;0.0000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 14:53:09.9237;13265;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;12;-4.1455;0.0000;Running;1.8834;17;0.1500;0;0.0000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:53:13.9055;13542;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;12;-4.1447;0.0000;Running;1.8834;17;0.1500;0;0.0000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:53:13.9115;13542;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;12;-4.1447;0.0000;Running;1.8834;17;0.1500;0;0.0000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 14:53:24.2288;14253;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;13;-4.1447;0.0000;Running;1.4437;17;0.1500;0;0.0000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 14:53:26.0062;14377;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7507;11
InputWindowChange;2021-01-29 14:53:26.0082;14377;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;13;-6.3562;0.0000;Running;1.4437;17;0.1500;0;0.0000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:53:26.0112;14377;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;13;-6.3562;0.0000;Running;1.4437;16;0.2000;0;0.0000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-29 14:53:26.1578;14387;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7286;11
InputWindowChange;2021-01-29 14:53:36.2578;15076;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;14;-6.3562;0.0000;Running;1.6703;16;0.2000;0;0.0000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:53:40.2614;15346;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;14;-6.3368;0.0000;Running;1.6703;16;0.2000;0;0.0000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:53:40.2633;15346;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;14;-6.3368;0.0000;Running;1.6703;16;0.2000;0;0.0000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
