Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
Rest;2021-01-29 10:52:26.5355;3694;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6392;9;(0.774 0.773 0.727 0.683 0.639 0.819 0.818 0.822 );NULL
InputWindowChange;2021-01-29 10:52:27.3036;3739;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;9;0.0000;0.0000;Running;2.8143;8;0.3000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:52:30.7644;3940;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7559;10;(0.749 0.747 0.746 0.756 0.653 0.691 0.700 0.738 );NULL
InputWindowChange;2021-01-29 10:52:30.7654;3940;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;9;-1.5421;0.0000;Running;2.8143;8;0.3000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:52:30.7664;3940;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;9;-1.5421;0.0000;Running;2.8143;7;0.3500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-29 10:52:32.7950;4057;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6130;10;(0.663 0.670 0.673 0.666 0.613 0.701 0.718 0.690 );NULL
InputWindowChange;2021-01-29 10:52:34.3210;4146;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;10;0.0000;0.0000;Running;4.2487;7;0.3500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:52:35.1332;4192;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6636;11;(0.729 0.712 0.669 0.664 0.661 0.653 0.705 0.716 );NULL
InputWindowChange;2021-01-29 10:52:35.1352;4192;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;10;-4.1835;0.0000;Running;4.2487;7;0.3500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:52:35.1352;4192;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;10;-4.1835;0.0000;Running;4.2487;6;0.4000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-29 10:52:35.4883;4211;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.4504;11;(0.705 0.701 0.450 0.664 0.706 0.719 0.686 0.709 );NULL
InputWindowChange;2021-01-29 10:52:41.3301;4543;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;11;0.0000;0.0000;Running;1.3211;6;0.4000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:52:43.6867;4676;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6611;12;(0.773 0.759 0.661 0.659 0.703 0.720 0.709 0.738 );NULL
InputWindowChange;2021-01-29 10:52:43.6877;4676;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;11;-2.6443;0.0000;Running;1.3211;6;0.4000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:52:43.6897;4676;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;11;-2.6443;0.0000;Running;1.3211;5;0.4500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-29 10:52:43.7036;4677;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6422;12;(0.773 0.759 0.661 0.642 0.703 0.720 0.709 0.738 );NULL
InputWindowChange;2021-01-29 10:52:48.3419;4937;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;12;0.0000;0.0000;Running;3.9428;5;0.4500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:52:49.4454;5000;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7542;13;(0.709 0.730 0.764 0.754 0.659 0.670 0.680 0.687 );NULL
InputWindowChange;2021-01-29 10:52:49.4494;5000;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;12;-3.8957;0.0000;Running;3.9428;5;0.4500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:52:49.4524;5000;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;12;-3.8957;0.0000;Running;3.9428;4;0.5000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-29 10:52:50.0668;5035;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6422;13;(0.657 0.687 0.673 0.691 0.658 0.642 0.657 0.668 );NULL
InputWindowChange;2021-01-29 10:52:55.3434;5333;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;13;0.0000;0.0000;Running;1.2031;4;0.5000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:52:55.5808;5346;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8172;14;(0.817 0.661 0.661 0.775 0.840 0.844 0.818 0.822 );NULL
