Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
InputWindowChange;2021-01-28 13:19:02.4009;13922;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;14;-11.2562;0.0000;Running;2.6585;11;0.0500;1;0.2500;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:19:02.4079;13922;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;14;-11.2562;0.0000;Running;2.6585;11;0.0500;1;0.2500;0;0.4500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
InputWindowChange;2021-01-28 13:19:13.6288;14683;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;15;-11.2562;0.0000;Running;2.6898;11;0.0500;1;0.2500;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:19:16.3091;14871;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;15;-12.5633;0.0000;Running;2.6898;11;0.0500;1;0.2500;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:19:16.3101;14871;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;15;-12.5633;0.0000;Running;2.6898;11;0.0500;0;0.3000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;FabInput;NULL;NULL;FabInput
InputWindowChange;2021-01-28 13:19:26.0017;15542;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;16;-12.5633;0.0000;Running;1.6661;11;0.0500;0;0.3000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-28 13:19:26.5732;15582;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7297;5;NULL
InputWindowChange;2021-01-28 13:19:26.5732;15582;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;16;-15.9668;0.0000;Running;1.6661;11;0.0500;0;0.3000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:19:26.5762;15582;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;16;-15.9668;0.0000;Running;1.6661;10;0.1000;0;0.3000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-01-28 13:19:29.8391;15802;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7181;5;NULL
