Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
InputWindowChange;2021-01-28 11:23:35.2724;4047;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;8;0.0137;0.0000;Running;4.6374;18;0.0000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:23:35.2734;4047;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;8;0.0137;0.0000;Running;4.6374;19;0.0000;0;0.0000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:23:36.9426;4146;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:23:37.2608;4165;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;9;0.0000;0.0000;Running;4.3411;19;0.0000;0;0.0000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:23:43.1353;4276;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:23:49.3262;4406;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:23:49.6354;4424;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;9;0.0032;0.0000;Running;4.3411;19;0.0000;0;0.0000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:23:49.6374;4424;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;9;0.0032;0.0000;Running;4.3411;20;0.0000;0;0.0000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-01-28 11:23:55.3260;4524;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;10;0.0000;0.0000;Running;4.3787;20;0.0000;0;0.0000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:23:55.5315;4536;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
