Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
InputWindowChange;2021-01-26 11:19:14.6172;5970;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;11;-2.1039;0.0000;Running;2.8889;8;0.3000;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:19:14.6172;5970;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;11;-2.1039;0.0000;Running;2.8889;8;0.3000;2;0.2000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL;NULL
MotorImagery;2021-01-26 11:19:17.5163;6140;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7907;12;(0.801 0.791 0.703 0.734 0.739 0.778 0.801 0.827 )
InputWindowChange;2021-01-26 11:19:18.7352;6212;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;12;0.0000;0.0000;Running;3.3686;8;0.3000;2;0.2000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
Rest;2021-01-26 11:19:18.9367;6224;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6659;12;(0.666 0.832 0.841 0.835 0.844 0.822 0.764 0.724 )
MotorImagery;2021-01-26 11:19:20.8500;6337;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7986;13;(0.799 0.750 0.749 0.743 0.757 0.766 0.778 0.786 )
InputWindowChange;2021-01-26 11:19:20.8500;6337;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;12;-2.8844;0.0000;Running;3.3686;8;0.3000;2;0.2000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:19:20.8510;6337;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;12;-2.8844;0.0000;Running;3.3686;7;0.3500;2;0.2000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:19:21.7302;6389;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6549;13;(0.857 0.812 0.791 0.786 0.777 0.730 0.702 0.655 )
InputWindowChange;2021-01-26 11:19:25.7365;6624;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;13;0.0000;0.0000;Running;1.4909;7;0.3500;2;0.2000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
