Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
Rest;2021-01-29 11:09:10.0384;3694;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6436;14;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:09:10.0554;3695;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6665;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:10.4412;3726;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6455;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:09:10.5808;3737;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6687;16;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:10.6905;3746;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6219;16;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:09:11.3901;3799;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Open;3;-4.2391;0.0000;Running;1.3474;12;0.1000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-29 11:09:13.3910;3955;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6670;17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:09:13.3920;3955;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Closed;3;-6.2207;0.0000;Running;1.3474;12;0.1000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 11:09:13.3920;3955;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Closed;3;-6.2207;0.0000;Running;1.3474;11;0.1500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-29 11:09:13.6244;3972;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6270;17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
