Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
InputWindowChange;2021-01-26 11:15:32.1062;5041;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;10;-0.9609;0.0000;Running;3.4678;15;0.2500;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:15:32.1072;5041;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;10;-0.9609;0.0000;Running;3.4678;14;0.3000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:15:32.6369;5072;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6741;8;(0.725 0.715 0.674 0.726 0.729 0.726 0.719 0.730 )
InputWindowChange;2021-01-26 11:15:35.0809;5215;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;11;0.0000;0.0000;Running;2.5794;14;0.3000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:15:38.3834;5408;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8531;9;(0.839 0.856 0.853 0.720 0.792 0.802 0.834 0.844 )
InputWindowChange;2021-01-26 11:15:38.3834;5408;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;11;-1.6980;0.0000;Running;2.5794;14;0.3000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:15:38.3844;5408;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;11;-1.6980;0.0000;Running;2.5794;13;0.3500;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:15:40.1476;5512;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6872;9;(0.868 0.864 0.848 0.717 0.761 0.740 0.701 0.687 )
InputWindowChange;2021-01-26 11:15:42.0826;5625;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;12;0.0000;0.0000;Running;4.6095;13;0.3500;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:15:42.2043;5632;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7268;10;(0.707 0.739 0.727 0.703 0.730 0.740 0.744 0.733 )
InputWindowChange;2021-01-26 11:15:42.2053;5632;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;12;-4.8821;0.0000;Running;4.6095;13;0.3500;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:15:42.2083;5632;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;12;-4.8821;0.0000;Running;4.6095;12;0.4000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:15:42.3359;5640;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6477;10;(0.707 0.739 0.727 0.707 0.648 0.740 0.744 0.733 )
InputWindowChange;2021-01-26 11:15:49.0860;6035;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;13;0.0000;0.0000;Running;2.9339;12;0.4000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:15:50.8795;6140;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8609;11;(0.891 0.853 0.861 0.759 0.832 0.835 0.861 0.885 )
InputWindowChange;2021-01-26 11:15:50.8805;6140;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;13;-3.2055;0.0000;Running;2.9339;12;0.4000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:15:50.8805;6140;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;13;-3.2055;0.0000;Running;2.9339;11;0.4500;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:15:51.6690;6186;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6891;11;(0.689 0.818 0.838 0.835 0.791 0.776 0.748 0.719 )
InputWindowChange;2021-01-26 11:15:56.1037;6447;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;14;0.0000;0.0000;Running;1.3602;11;0.4500;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:15:58.3006;6574;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7222;12;(0.753 0.747 0.719 0.717 0.737 0.735 0.722 0.708 )
InputWindowChange;2021-01-26 11:15:58.3016;6574;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;14;-2.8001;0.0000;Running;1.3602;11;0.4500;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:15:58.3036;6574;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;14;-2.8001;0.0000;Running;1.3602;10;0.5000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:15:58.3156;6575;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6803;12;(0.753 0.747 0.719 0.717 0.737 0.735 0.722 0.680 )
MotorImagery;2021-01-26 11:16:01.2312;6746;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.9263;13;(0.757 0.760 0.805 0.875 0.885 0.896 0.915 0.926 )
Rest;2021-01-26 11:16:02.1487;6800;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6801;13;(0.902 0.881 0.861 0.824 0.775 0.774 0.743 0.680 )
InputWindowChange;2021-01-26 11:16:03.1146;6857;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;15;0.0000;0.0000;Running;1.5871;10;0.5000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:16:08.1327;7152;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;15;0.0143;0.0000;Running;1.5871;10;0.5000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:16:08.1417;7152;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;15;0.0143;0.0000;Running;1.5871;10;0.5000;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:16:10.1284;7270;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;16;0.0000;0.0000;Running;3.9953;10;0.5000;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:16:13.5205;7471;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8124;14;(0.790 0.778 0.803 0.815 0.812 0.709 0.782 0.796 )
InputWindowChange;2021-01-26 11:16:13.5225;7471;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;16;-1.6089;0.0000;Running;3.9953;10;0.5000;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:16:13.5234;7471;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;16;-1.6089;0.0000;Running;3.9953;9;0.5500;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
